title;job;company;city;region;postal_code;date
Datacenter Engineer / Techniker (m/w/d);Data Engineer;puro Personaldienstleistung GmbH;Frankfurt am Main;Hessen;60308;2026-05-31
AI & Data Operations Engineer (m/w/d);Entwickler/in - Drohnen;Dr. Dienst & Partner;Frankfurt am Main;Hessen;60327;2026-05-19
Senior Data Engineer/ Fokus Snowflake  (m/w/d), Infomotion GmbH;Data Engineer;Infomotion GmbH;Frankfurt am Main;Hessen;60327;2026-02-19
(Senior) Data Engineer / Report Creator (m/w/d);Wirtschaftsinformatiker/in (Hochschule);Fraport AG;Frankfurt am Main;Hessen;60549;2026-05-18
EY-Parthenon Praktikant Data Engineer - Strategy and Transactions (w/m/d);Data Engineer;EY Strategy & Transactions GmbH;Eschborn, Taunus;Hessen;65760;2026-03-18
Data Management Consultant (m/w/d) / Data Engineer (m/w/d);IT-Berater/in;nag informatik;Frankfurt am Main;Hessen;60313;2026-04-15
Junior Consultant (m/w/d) Big Data Engineer;IT-Berater/in;integration-factory;Frankfurt am Main;Hessen;60313;2026-04-15
Data System Engineer (w/m/d) Schwerpunkt: DevOps & Plattformbetrieb;DevOps Engineer;DENIC eG;Frankfurt am Main;Hessen;60308;2026-05-25
Senior Data Engineer/ Fokus Snowflake (m/w/d);IT-Projektkoordinator/in;Infomotion GmbH;Frankfurt am Main;Hessen;60313;2026-04-15
Berater im Data Engineering (m/w/d) Process Mining;Data Engineer;AOK Systems GmbH;Frankfurt am Main;Hessen;Not provided;2026-01-15
Regulatory Reporting & Data Engineer SQL / ETL (w/m/d);Compliance-Manager/in;ING Deutschland;Frankfurt am Main;Hessen;60486;2026-05-14
Data Architect - Digital Health Excellence Center (w/m/d);Data Engineer;EY Consulting GmbH;Eschborn, Taunus;Hessen;65760;2026-01-26
Machine Learning;Informatiker/in;alfatraining Bildungszentrum GmbH;Berlin;Berlin;10247;2025-02-10
Machine Learning Entwickler:in;Mathematiker/in;alfatraining Bildungszentrum GmbH;Berlin;Berlin;10247;2025-02-10
Principal Machine Learning Scientist (alle Gechlechter);Machine Learning Engineer;Bayer AG Pharmaceuticals;Berlin;Berlin;13353;2026-06-12
Principal Machine Learning Scientist (alle Geschlechter);Machine Learning Engineer;Bayer AG Pharmaceuticals;Berlin;Berlin;13353;2026-05-19
Machine Learning Engineer (all genders);IT-Systemadministrator/in;Parship;Berlin;Berlin;10178;2026-05-30
Softwareentwickler:in Machine-/Deep-Learning (Homeoffice möglich);Softwareentwickler/in;zollsoft GmbH    ;Berlin;Berlin;Not provided;2025-09-23
Softwareentwickler:in Machine- / Deep-Learning (Home Office) (m/w/d);Softwareentwickler/in;zollsoft GmbH;Berlin;Berlin;10115;2026-05-26
WL QA Engineer;Machine Learning Engineer;Join Solutions GmbH;Berlin;Berlin;10435;2026-03-24
AI Engineer (f/m/x) - Berlin - Hybrid;Machine Learning Engineer;NETCONOMY;Berlin;Berlin;10117;2026-05-28
WL-1 QA Engineer;Machine Learning Engineer;Join Solutions GmbH;Berlin;Berlin;10435;2026-03-24
Online Trainer / Dozent (m/w/d) Cloud KI & AWS Machine Learning Engineer...,Hamburg,Oldenburg,Han...;Data Engineer;IBB Institut für Berufliche Bildung AG;Berlin;Berlin;10119;2026-05-13
Staff Forward Deployed Engineer, GenAI, Google Cloud;Machine Learning Engineer;Google Germany GmbH;Berlin;Berlin;10117;2026-05-27
NTT DATA Deutschland SE: Senior AI & GenAI Architect (w/m/x);KI-Engineer;NTT DATA Deutschland SE;Berlin;Berlin;10117;2026-05-27
Reinforcement Learning;Informatiker/in;alfatraining Bildungszentrum GmbH;Berlin;Berlin;10247;2025-01-27
mgm technology partners GmbH: Senior Entwickler Künstliche Intelligenz & Automatisierung (m/w/d);Chatbot-Entwickler/in;mgm technology partners GmbH;Berlin;Berlin;10115;2026-05-28
Home Office Dozent (m/w/d) für strategisches KI-Management,Hamburg,Oldenburg,Han...;Machine Learning Engineer;IBB Institut für Berufliche Bildung AG;Berlin;Berlin;10119;2026-01-29
Principal ML Engineer (Agentic AI)-Vendor Data Team;Machine Learning Engineer;Delivery Hero SE;Berlin;Berlin;10117;2026-04-13
Applied Scientist (all genders) - B2B Data Science and Algorithms;Data Scientist;Zalando SE;Berlin;Berlin;10243;2026-06-12
Masterarbeit: Automatisierung von LCA-Daten – Green Digital Twin;Ingenieur/in - Umweltschutz/Umwelttechnik;Siemens AG;Berlin;Berlin;10115;2026-06-12
AI Engineer (m/w/d);KI-Engineer;FERCHAU GmbH Niederlassung Berlin Süd;Berlin;Berlin;10117;2026-06-04
Senior CRM Strategy Manager - Reactivations;CRM-Manager/in;HelloFresh SE;Berlin;Berlin;10969;2026-06-11
Junior AI Integration Engineer - Berufseinsteiger KI   (m/w/d) 26012-ICNB01;Fachinformatiker/in - Anwendungsentwicklung;NG Engineering Consulting GmbH;Berlin;Berlin;Not provided;2026-05-27
Technischer Produkt Manager (m/w/d) Traineeprogramm;Produktmanager/in;CHECK24 Services Personal GmbH;Berlin;Berlin;10179;2026-06-01
Machine Learning;Informatiker/in;alfatraining Bildungszentrum GmbH;Hamburg;Hamburg;20097;2025-02-10
Machine Learning Entwickler:in;Mathematiker/in;alfatraining Bildungszentrum GmbH;Hamburg;Hamburg;20097;2025-02-10
Machine Learning Engineer (all genders);IT-Systemadministrator/in;Parship;Hamburg;Hamburg;22085;2026-05-30
Softwareentwickler:in Machine- / Deep-Learning (Home Office) (m/w/d);Softwareentwickler/in;zollsoft GmbH;Hamburg;Hamburg;22083;2026-05-26
Softwareentwickler:in Machine-/Deep-Learning (Homeoffice möglich);Softwareentwickler/in;zollsoft GmbH    ;Hamburg;Hamburg;Not provided;2025-09-23
Learning Experience Designer (m/w/d);KI-Manager/in;NBS Northern Business School gGmbH;Hamburg;Hamburg;22041;2026-04-01
AI Engineering Lead (m/w/d) - Hybrid;Machine Learning Engineer;Qodia;Hamburg;Hamburg;22301;2026-05-25
Staff Forward Deployed Engineer, GenAI, Google Cloud;Machine Learning Engineer;Google Germany GmbH;Hamburg;Hamburg;20354;2026-05-27
Online Trainer / Dozent (m/w/d) Cloud KI & AWS Machine Learning Engineer...,Hamburg,Oldenburg,Han...;Data Engineer;IBB Institut für Berufliche Bildung AG;Hamburg;Hamburg;20097;2026-05-13
Reinforcement Learning;Informatiker/in;alfatraining Bildungszentrum GmbH;Hamburg;Hamburg;20097;2025-01-27
NTT DATA Deutschland SE: Senior AI & GenAI Architect (w/m/x);KI-Engineer;NTT DATA Deutschland SE;Hamburg;Hamburg;20457;2026-05-27
mgm technology partners GmbH: Senior Entwickler Künstliche Intelligenz & Automatisierung (m/w/d);Chatbot-Entwickler/in;mgm technology partners GmbH;Hamburg;Hamburg;20457;2026-05-28
Home Office Dozent (m/w/d) für strategisches KI-Management,Hamburg,Oldenburg,Han...;Machine Learning Engineer;IBB Institut für Berufliche Bildung AG;Hamburg;Hamburg;20097;2026-01-29
Senior Consultant AI Specialist (Financial Services) (w/m/d);KI-Manager/in;EY Consulting GmbH;Hamburg;Hamburg;20148;2026-05-27
Berater AI Operationalization MLOps - AI & Data (w/m/d);Informatiker/in;EY Consulting GmbH;Hamburg;Hamburg;20148;2025-06-02
Technischer Produkt Manager (m/w/d) Traineeprogramm;Produktmanager/in;CHECK24 Services Personal GmbH;Hamburg;Hamburg;20099;2026-06-01
Associate Product Owner (m/w/d) Traineeprogramm;Produktmanager/in;CHECK24 Services Personal GmbH;Hamburg;Hamburg;20099;2026-06-01
Berater im Projektmanagement im öffentlichen Sektor - Business Transformation (w/m/d);Wirtschaftsingenieur/in;EY Consulting GmbH;Hamburg;Hamburg;20148;2025-08-18
(Senior) Consultant Technology Transformation - Data & AI (Financial Services) (w/m/d);Wirtschaftsinformatiker/in (Hochschule);EY Consulting GmbH;Hamburg;Hamburg;20148;2026-02-23
Berater Supply Chain Planning - Supply Chain & Operations (w/m/d);Betriebswirt/in (Hochschule);EY Consulting GmbH;Hamburg;Hamburg;20148;2025-04-18
Machine Learning;Informatiker/in;alfatraining Bildungszentrum GmbH;Frankfurt am Main;Hessen;60322;2025-02-10
Machine Learning Entwickler:in;Mathematiker/in;alfatraining Bildungszentrum GmbH;Frankfurt am Main;Hessen;60322;2025-02-10
Projektmanagerin / Projektmanager – Arbeitsgruppe Machine Learning ;Gesundheitsmanager/in;Universitätsklinikum Frankfurt;Frankfurt am Main;Hessen;60590;2026-06-11
Teamleitung & Koordinatorin/ Koordinator Machine Learning ;Informatiker/in;Universitätsklinikum Frankfurt;Frankfurt am Main;Hessen;60590;2026-05-29
Senior Machine Learning Engineer - Medizinische KI-Entwicklung ;Informatiker/in;Universitätsklinikum Frankfurt;Frankfurt am Main;Hessen;60590;2026-05-29
AI Engineer (m/f/d) – Machine Learning, MLOps and Production-Grade AI Systems;KI-Engineer;Expert Select GmbH;Frankfurt am Main;Hessen;Not provided;2026-05-19
AI Innovation Engineer, Deutsche Borse Group, Google Cloud;Machine Learning Engineer;Google Germany GmbH;Frankfurt am Main;Hessen;60311;2026-06-11
Online Trainer / Dozent (m/w/d) Cloud KI & AWS Machine Learning Engineer...,Hamburg,Oldenburg,Han...;Data Engineer;IBB Institut für Berufliche Bildung AG;Frankfurt am Main;Hessen;60329;2026-05-13
Staff Forward Deployed Engineer, GenAI, Google Cloud;Machine Learning Engineer;Google Germany GmbH;Frankfurt am Main;Hessen;60311;2026-05-27
NTT DATA Deutschland SE: Senior AI & GenAI Architect (w/m/x);KI-Engineer;NTT DATA Deutschland SE;Frankfurt am Main;Hessen;60487;2026-05-27
Reinforcement Learning;Informatiker/in;alfatraining Bildungszentrum GmbH;Frankfurt am Main;Hessen;60329;2025-01-27
IBM Client Innovation Center Germany GmbH: AI Architect/ Defense (m/w/d);Cloud-Architect;IBM Client Innovation Center Germany GmbH;Frankfurt am Main;Hessen;65936;2026-05-30
IBM Client Innovation Center Germany GmbH: Senior AI Architect - Defense (m/w/d);Cloud-Architect;IBM Client Innovation Center Germany GmbH;Frankfurt am Main;Hessen;65936;2026-05-25
Home Office Dozent (m/w/d) für strategisches KI-Management,Hamburg,Oldenburg,Han...;Machine Learning Engineer;IBB Institut für Berufliche Bildung AG;Frankfurt am Main;Hessen;60329;2026-01-29
#14441 Data Scientist (m/w/d);Data Scientist;Constaff GmbH;Frankfurt am Main;Hessen;Not provided;2026-05-29
Data Architect, Deutsche Borse Delivery Team, Google Cloud;Cloud-Architect;Google Germany GmbH;Frankfurt am Main;Hessen;60311;2026-06-11
Data Scientist (f/x/m);Data Scientist;spotixx GmbH;Frankfurt am Main;Hessen;60311;2026-06-08
KI-Risikocontroller Schwerpunkt Tochtergesellschaften (m/w/d);Informatiker/in;Finanz Informatik GmbH & Co. KG;Frankfurt am Main;Hessen;Not provided;2026-04-21
Lead IT-Architect AIOps Plattform (m/w/d);Informationstechnikermeister/in/Bachelor Professional im Informationstechniker-Handwerk;BWI GmbH;Frankfurt am Main;Hessen;60486;2026-01-21
Application Manager Krisenvorsorgeinformation Bund (m/w/d);DevOps Engineer;BWI GmbH;Frankfurt am Main;Hessen;60486;2026-05-15
Technischer Produkt Manager (m/w/d) Traineeprogramm;Produktmanager/in;CHECK24 Services Personal GmbH;Frankfurt am Main;Hessen;60327;2026-06-01
Associate Product Owner (m/w/d) Traineeprogramm;Produktmanager/in;CHECK24 Services Personal GmbH;Frankfurt am Main;Hessen;60327;2026-06-01
Research Scientist and Curator of Herpetology (f/m/d);Biologe/Biologin;Senckenberg Gesellschaft für Naturforschung;Frankfurt am Main;Hessen;60325;2026-05-08
Senior IT Architect Collaboration und Content Management (m/w/d);Software-Architect;BWI GmbH;Frankfurt am Main;Hessen;60486;2026-04-28
Software Engineer (w/m/d);Anwendungsprogrammierer/in;Capgemini;Berlin;Berlin;10178;2026-04-15
Software Engineer (w/m/d);Softwareentwickler/in;ALDB GmbH;Berlin;Berlin;10707;2026-05-26
Software Engineer - Security (m/w/d);Softwareentwickler/in;blackned GmbH;Berlin;Berlin;10961;2026-06-02
Embedded Software Engineer (m/w/d);Anwendungsprogrammierer/in;CarByte;Berlin;Berlin;10178;2026-04-15
Cloud Software Engineer (m/w/d);Cloud-Architect;Deloitte GmbH;Berlin;Berlin;10719;2025-12-18
Software QA-Engineer (w/m/d);IT-Qualitätssicherungskoordinator/in;B. Braun;Berlin;Berlin;10178;2026-04-15
Software Test Engineer (m/w/d);IT-Tester/in;blackned GmbH;Berlin;Berlin;10961;2026-05-21
B60-C03 Software-Engineer (m/w/d);IT-Systemplaner/in;Jan Schreiner Private Arbeitsvermittlung Arbitex;Berlin;Berlin;Not provided;2026-05-21
Senior Backend Software Engineer (m/w/d);Wirtschaftsinformatiker/in (Hochschule);DAMPSOFT GmbH;Berlin;Berlin;10178;2026-04-03
Senior Software Engineer Backend (m/w/d);Softwareentwickler/in;365FarmNet Group GmbH;Berlin;Berlin;10117;2026-04-09
Embedded Software Engineer (m/f/x);Softwareentwickler/in;go-e Labs GmbH;Berlin;Berlin;10551;2025-11-05
Senior Cloud Software Engineer (m/w/d);Systeminformatiker/in;Deloitte GmbH;Berlin;Berlin;10719;2025-08-06
DevOps Engineer im Cloud Umfeld (w/m/d);DevOps Engineer;EMOS Software GmbH;Berlin;Berlin;Not provided;2025-06-13
Senior Software Engineer (m/w/d) Backend - Direktvermittlung;Backend-Entwickler/in;MANAWA Consulting GmbH;Berlin;Berlin;10178;2026-05-21
Senior Software Engineer, ReactJS & Python - (Logistics, Choice);Softwareentwickler/in;Delivery Hero SE;Berlin;Berlin;10117;2026-04-07
Software Engineer AI - Senior Expert  (m/w/d);Softwareentwickler/in;Deutsche Telekom AG;Berlin;Berlin;10781;2026-04-13
Quereinsteiger Physiker / Mathematiker als Software Engineer Data Analytics (mwd);Anwendungsprogrammierer/in;HMS Analytical Software;Berlin;Berlin;10178;2026-04-15
Senior Software Engineer – Test Automation;Softwareentwickler/in;activjob GmbH;Berlin;Berlin;10178;2026-05-21
Software Engineer / Softwareentwickler (w/m/d) Schwerpunkt Künstliche Intelligenz;Softwareentwickler/in;ALDB GmbH;Berlin;Berlin;10707;2025-11-27
Robotics Software Integration Engineer (m/f/d);Softwareentwickler/in;MOTOR Ai GmbH;Berlin;Berlin;13355;2026-06-03
Principal Software Engineer (m/w/d) – JVM & Cloud Architecture;Ingenieurinformatiker/in;zollsoft GmbH;Berlin;Berlin;10115;2026-05-28
AI Engineer / Software Engineer (all genders);IT-Systemadministrator/in;adesso;Berlin;Berlin;10178;2026-04-25
Software Engineer - RAG, Knowledge Graphs & Agentic Systems (m/f/d);Anwendungsprogrammierer/in;Riverty Group GmbH;Berlin;Berlin;10178;2026-06-11
Software Engineer (m/w/d);Informatiker/in;DEKRA Arbeit GmbH;Wedel;Schleswig-Holstein;22880;2026-06-12
Software Engineer (m/w/d);Softwareentwickler/in;ERGO Group AG;Hamburg;Hamburg;22297;2026-02-11
CFD Software Engineer;Softwareentwickler/in;Siemens AG;Hamburg;Hamburg;20095;2026-06-04
Software Engineer (m/w/d);Softwareentwickler/in;SCOPE Engineering GmbH;Wedel;Schleswig-Holstein;22880;2026-06-05
Software Engineer* für Datenprojekte;Data Engineer;inovex GmbH;Hamburg;Hamburg;Not provided;2025-05-22
Software Engineer (m/w/d);Softwareentwickler/in;Orizon GmbH, Unit Aviation;Wedel;Schleswig-Holstein;22880;2026-06-01
Software Engineer Schwerpunkt Testautomatisierung (m/w/d);Softwareentwickler/in;PPI AG;Hamburg;Hamburg;22301;2025-02-19
Senior Software Engineer (m/w/d);Fullstack-Entwickler/in;Spaceteams GmbH;Hamburg;Hamburg;22769;2026-04-14
Senior Software Engineer;Informatiker/in;Multi Cash Solutions GmbH;Hamburg;Hamburg;22529;2026-05-12
Matlab Software Engineer (m/w/d);Softwareentwickler/in;FERCHAU GmbH Niederlassung Hamburg-City;Wedel;Schleswig-Holstein;22880;2026-05-25
B78-E06 Software Engineer (m/w/d);Softwareentwickler/in;Jan Schreiner Private Arbeitsvermittlung Arbitex;Hamburg;Hamburg;Not provided;2026-06-05
Senior Inhouse Java Software Engineer (w/m/d);Software-Architect;plusYou GmbH;Hamburg;Hamburg;20148;2026-05-19
Solution Architect / Software Engineer (w/m/d);Softwareentwickler/in;Förde Digital GmbH;Hamburg;Hamburg;22767;2026-06-11
Senior Software Engineer Defense (w/m/d);Anwendungsprogrammierer/in;Capgemini;Hamburg;Hamburg;22085;2026-04-15
Software Engineer - Input Management (m/w/d);Anwendungsprogrammierer/in;ERGO;Hamburg;Hamburg;22085;2026-04-15
Senior Software Engineer* Python/AI;Softwareentwickler/in;inovex GmbH;Hamburg;Hamburg;Not provided;2026-04-01
Software Engineer (gn) C++;Softwareentwickler/in;Dock 22 GmbH;Wedel;Schleswig-Holstein;22880;2026-06-04
Software Engineer Embedded Systems (m/w/d);Informatiker/in;FERCHAU GmbH Niederlassung Hamburg-City;Wedel;Schleswig-Holstein;22880;2026-06-12
DevOps Engineer im Cloud Umfeld (w/m/d);DevOps Engineer;EMOS Software GmbH;Hamburg;Hamburg;Not provided;2025-06-13
Software Engineer C++ & Architektur (m/w/d);Softwareentwickler/in;Akkodis Germany Tech Experts GmbH;Wedel;Schleswig-Holstein;22880;2026-06-01
Software Engineer AI - Senior Expert  (m/w/d);Softwareentwickler/in;Deutsche Telekom AG;Hamburg;Hamburg;22297;2026-04-13
Principal Software Engineer (m/w/d) – JVM & Cloud Architecture;Ingenieurinformatiker/in;zollsoft GmbH;Hamburg;Hamburg;22083;2026-05-28
AI Engineer / Software Engineer (all genders);IT-Systemadministrator/in;adesso;Hamburg;Hamburg;22085;2026-04-25
Senior Software Engineer (m/f/d) Networking & VPN (IPsec);Softwareentwickler/in;secunet Security Networks AG;Hamburg;Hamburg;22083;2026-01-05
Senior SAP TRM ABAP Developer / Software Engineer  (m/w/d);Softwareentwickler/in;Deutsche Telekom AG;Hamburg;Hamburg;22297;2026-03-06
Embedded Software Engineer (w/m/d);Ingenieur/in - Elektrotechnik;Brunel GmbH NL Mannheim;Frankfurt am Main;Hessen;60306;2026-05-28
Senior Software Engineer (m/w/d);Ingenieur/in - Elektrotechnik;Hays Professional Solutions GmbH Standort Frankfurt;Frankfurt am Main;Hessen;Not provided;2026-05-27
Embedded Software Engineer (w/m/d);Ingenieur/in - Elektrotechnik;Brunel GmbH NL Mannheim;Frankfurt am Main;Hessen;60306;2026-06-03
Software Engineer (m/f/d);Anwendungsprogrammierer/in;Yatta;Frankfurt am Main;Hessen;60313;2026-04-15
Software Quality Engineer (m/w/d);Qualitätsingenieur/in;FERCHAU GmbH Niederlassung Frankfurt;Frankfurt am Main;Hessen;60313;2026-06-05
Azure Software Engineer (m/w/d);IT-Systemadministrator/in;Slalom;Frankfurt am Main;Hessen;60313;2026-04-15
Senior Software Engineer (w/m/d) - Software Architect;Informatiker/in;Siemens AG;Frankfurt am Main;Hessen;60306;2026-04-22
Senior Software Engineer Defense (w/m/d);Anwendungsprogrammierer/in;Capgemini;Frankfurt am Main;Hessen;60313;2026-04-15
DevOps Engineer im Cloud Umfeld (w/m/d);DevOps Engineer;EMOS Software GmbH;Frankfurt am Main;Hessen;Not provided;2025-06-13
Software Engineer (f/m/d) CM500;Internettechnologe/-technologin;Siemens Energy Global GmbH & Co. KG;Frankfurt am Main;Hessen;60528;2026-03-26
Senior Software Engineer / Technical Coordinator (m/w/d);Ingenieurinformatiker/in;FERCHAU GmbH Niederlassung Frankfurt;Frankfurt am Main;Hessen;60311;2026-05-27
Full-Stack Software Engineer Digital Payment (m/w/d);Softwareentwickler/in;Finanz Informatik GmbH & Co. KG;Frankfurt am Main;Hessen;60486;2026-05-26
Software Quality Assurance / QA Engineer (m/w/d);Informatiker/in;Advancis Software & Services GmbH;Langen (Hessen);Hessen;63225;2026-06-01
Full-Stack Software Engineer Digital Payment (m/w/d);Anwendungsprogrammierer/in;Finanz Informatik;Frankfurt am Main;Hessen;60313;2026-05-29
Full-Stack Software Engineer Digital Payment (m/w/d);Fullstack-Entwickler/in;Finanz Informatik GmbH & Co. KG;Frankfurt am Main;Hessen;60486;2026-05-26
Software Quality Assurance / QA Engineer (m/w/d);Informatiker/in;Advancis Software & Services GmbH;Langen (Hessen);Hessen;63225;2026-06-02
AI Engineer / Software Engineer (all genders);IT-Systemadministrator/in;adesso;Frankfurt am Main;Hessen;60313;2026-04-25
Senior Software Engineer (m/f/d) Networking & VPN (IPsec);Softwareentwickler/in;secunet Security Networks AG;Eschborn, Taunus;Hessen;65760;2026-01-05
Senior Software Engineer (m/w/d) – Hybrid in Frankfurt / Rhein-Main;Software-Architect;equipme GmbH;Sulzbach (Taunus);Hessen;65843;2026-04-30
Business Intelligence Software Engineer / Backend Entwickler (m/w/d);Business-Intelligence-Consultant;Deinzer + Weyland GmbH;Frankfurt am Main;Hessen;60386;2026-04-08
Software Test Engineer / Testspezialist für digitale Online-Services (m/w/d);Softwareentwickler/in;Finanz Informatik GmbH & Co. KG;Frankfurt am Main;Hessen;Not provided;2026-03-30
Software Test Engineer / Testspezialist für digitale Online-Services (m/w/d);Informatiker/in;Finanz Informatik GmbH & Co. KG;Frankfurt am Main;Hessen;60311;2026-05-04
Teamcenter® Engineer (m/w/d) – Junior bis Senior / 100% remote;Software-Architect;Profi Talent Recruitment UG PTR;Frankfurt am Main;Hessen;Not provided;2026-06-12
Software Test Engineer / Testspezialist für digitale Online-Services (m/w/d);IT-Qualitätssicherungskoordinator/in;Finanz Informatik;Frankfurt am Main;Hessen;60313;2026-05-14
